MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
HD   9480A,01 34 00.6577,+45 58 35.693,14,14,0.0463,0.0512,90,A,O,2020yCat.1350....0G,1.5535,9.2,8.96,Star,0,0.6437077566784679,15.156556287954965,6.813613344680985e-05,-0.23999999999999844,14632.835167360094
HD   9548,01 34 36.4351,+46 03 47.327,14,14,0.0296,0.0305,90,A,O,2020yCat.1350....0G,1.3744,8.44,9.89,Star,0,0.7275902211874272,14.130565732435835,0.0001752966864970601,1.450000000000001,3870.2956395244873
HD   9621,01 35 16.5610,+45 49 43.462,14,14,0.0322,0.026,90,A,O,2020yCat.1350....0G,1.2933,9.19,9.19,Star,0,0.7732158045310447,14.748496387867753,9.92205076798516e-05,0.0,10125.237191650855
HD   9684,01 35 45.9679,+46 02 39.602,14,14,0.0145,0.0132,90,A,O,2020yCat.1350....0G,1.0367,9.59,11.06,Star,0,0.9645992090286486,14.668265492677326,0.00010683014132721827,1.4700000000000006,3839.1950178350357
HD   9739,01 36 12.9764,+45 56 02.438,14,14,0.0518,0.0437,90,A,O,2020yCat.1350....0G,3.0276,9.27,9.36,Star,0,0.33029462280354077,16.675492482825995,1.6819109842219067e-05,0.08999999999999986,9125.458485299803
HD   9813,01 36 51.6870,+46 01 45.596,14,14,0.0588,0.049,90,A,O,2020yCat.1350....0G,6.7756,9.21,9.65,Star,0,0.14758840545486748,18.36473879673692,3.548987594770032e-06,0.4399999999999995,6674.161523966188
HD   9880,01 37 27.0573,+45 57 26.653,14,14,0.0178,0.0141,90,A,O,2020yCat.1350....0G,6.039,9.09,9.45,Star,0,0.16559032952475577,17.994825148041585,4.989648365850442e-06,0.35999999999999943,7100.667766194718
HD   9935,01 38 01.6629,+45 59 53.970,14,14,0.0794,0.0629,90,A,O,2020yCat.1350....0G,3.2652,8.61,8.69,**,0,0.30625995344848705,16.179548939136914,2.655708626815924e-05,0.08000000000000007,9225.6595386702
BD+45   402,01 38 55.8601,+45 53 54.326,14,14,0.0157,0.0134,90,A,O,2020yCat.1350....0G,4.6855,9.77,10.28,Star,0,0.21342439440828084,18.123779711075667,4.4308608931156765e-06,0.5099999999999998,6343.880598874681
BD+45   403,01 39 24.6559,+45 49 42.151,14,14,0.0191,0.0171,90,A,O,2020yCat.1350....0G,2.9668,8.62,9.59,Star,0,0.3370635027639207,15.981441351698784,3.187303791221968e-05,0.9700000000000006,4815.940934665448
BD+45   411,01 40 33.1996,+45 51 04.968,14,14,0.1899,0.1551,90,A,O,2020yCat.1350....0G,14.0472,9.03,9.61,SB*,0,0.07118856426903582,19.767948829128933,9.745866730648963e-07,0.5800000000000001,6046.972924424451
BD+44   336,01 38 14.3836,+45 43 34.711,14,14,0.0134,0.011,90,A,O,2020yCat.1350....0G,1.3782,9.54,10.95,Star,0,0.7255840951966332,15.236561227893347,6.329588970969158e-05,1.4100000000000001,3934.098141087185
BD+44   337,01 38 22.8068,+45 39 49.927,14,14,0.0208,0.0163,90,A,O,2020yCat.1350....0G,2.7208,8.3,9.81,RedSG,0,0.3675389591296677,15.47348309462333,5.0886989921617714e-05,1.5099999999999998,3778.5271011150085
BD+46   381,01 32 56.1752,+47 35 41.512,14,14,0.0392,0.0281,90,A,O,2020yCat.1350....0G,3.3679,9.43,9.77,**,0,0.2969209299563526,17.066795939534526,1.1729557381471936e-05,0.33999999999999986,7216.7629742546505
HD   8917,01 28 42.3204,+46 25 56.879,14,14,0.0167,0.0169,90,A,O,2020yCat.1350....0G,1.7034,9.86,10.93,Star,0,0.5870611717740989,16.016583214547502,3.085792464651796e-05,1.0700000000000003,4580.71996243678
