MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
HD 204114,21 24 22.0608,+57 27 55.658,14,14,0.0161,0.0163,90,A,O,2020yCat.1350....0G,2.4191,8.47,9.76,Star,0
HD 239655,21 24 36.3576,+57 36 48.015,14,14,0.0217,0.0223,90,A,O,2020yCat.1350....0G,2.3999,9.55,10.26,Star,0
HD 239659,21 24 55.0011,+57 33 46.446,14,14,0.0827,0.0907,90,A,O,2020yCat.1350....0G,3.1181,9.43,9.78,**,0
HD 204459,21 26 32.5172,+57 21 15.719,14,14,0.0175,0.0169,90,A,O,2020yCat.1350....0G,3.3989,8.3,9.36,Star,0
HD 239669,21 26 40.2513,+57 26 57.986,14,14,0.0101,0.0109,90,A,O,2020yCat.1350....0G,2.2568,9.64,10.77,Star,0
HD 204828,21 29 07.9797,+56 42 01.548,14,14,0.0696,0.0703,90,A,O,2020yCat.1350....0G,2.8515,8.45,9.54,SB*,0
HD 204932,21 29 42.6423,+57 11 33.286,14,14,0.0185,0.016,90,A,O,2020yCat.1350....0G,4.9168,8.28,8.67,Star,0
HD 239682,21 29 52.3736,+57 26 29.921,14,14,0.016,0.0137,90,A,O,2020yCat.1350....0G,1.5498,8.91,10.35,Star,0
HD 239689,21 30 45.9265,+57 12 00.161,14,14,0.0127,0.0115,90,A,O,2020yCat.1350....0G,1.1303,8.83,9.02,YSO,0
HD 239691,21 31 00.5775,+56 56 43.904,14,14,0.0143,0.015,90,A,O,2020yCat.1350....0G,3.3584,9.16,9.38,Star,0
HD 205196,21 31 38.4074,+57 30 09.325,14,14,0.0135,0.0141,90,A,O,2020yCat.1350....0G,0.9713,7.427,7.918,PulsV*,0
HD 205330,21 32 29.8357,+57 32 18.025,14,14,0.0151,0.0168,90,A,O,2020yCat.1350....0G,3.6441,8.09,9.16,Star,0
HD 239695,21 33 02.2386,+57 22 20.385,14,14,0.0199,0.0208,90,A,O,2020yCat.1350....0G,3.151,9.86,10.19,Star,0
HD 239697,21 33 54.7109,+57 17 37.033,14,14,0.0107,0.0116,90,A,O,2020yCat.1350....0G,2.0359,9.39,9.55,Star,0
HD 239704,21 34 40.9112,+57 28 56.728,14,14,0.0159,0.0145,90,A,O,2020yCat.1350....0G,2.6226,9.32,9.43,Star,0
HD 205794,21 35 43.8316,+57 28 03.479,14,14,0.0132,0.0139,90,A,O,2020yCat.1350....0G,1.0843,8.43,8.71,Star,0
BD+56  2600B,21 36 01.4791,+57 28 14.406,14,14,0.0103,0.0106,90,A,O,2020yCat.1350....0G,4.3654,9.57,9.96,Star,0
HD 205948,21 36 47.8726,+57 35 02.095,14,14,0.015,0.0145,90,A,O,2020yCat.1350....0G,1.0679,8.65,8.9,Star,0
